index,Bodyarea,Exercise Name,Set,AverageWeight,Reps,Distance,Seconds,Notes,Workout Notes
0967,"Back","Rear delt fly",1,130,12,0,0,"",""
0968,"Back","Rear delt fly",2,130,12,0,0,"",""
0969,"Back","Rear delt fly",3,130,12,0,0,"",""
0970,"Back","Hammer Curl (Dumbbell )",1,60,12,0,0,"",""
0971,"Back","Hammer Curl (Dumbbell )",2,80,8,0,0,"",""
0972,"Back","Chin Up",1,0,8,0,0,"",""
0973,"Back","Chin Up",2,0,8,0,0,"",""
0974,"Back","Chin Up",3,0,8,0,0,"",""
0975,"Back","Chin Up",4,35,8,0,0,"",""
0976,"Back","Chin Up",5,35,8,0,0,"",""
0977,"Back","Chin Up",6,35,8,0,0,"",""
0978,"Back","Lat Pulldown",1,150,12,0,0,"",""
0979,"Back","Lat Pulldown",2,150,14,0,0,"",""
0980,"Back","Lat Pulldown",3,150,10,0,0,"",""
0981,"Back","Seated Row",1,160,10,0,0,"",""
0982,"Back","Seated Row",2,160,10,0,0,"",""
0983,"Back","Seated Row",3,160,10,0,0,"",""
0984,"Back","Rear delt fly",1,130,12,0,0,"",""
0985,"Back","Rear delt fly",2,130,12,0,0,"",""
0986,"Back","Rear delt fly",3,130,12,0,0,"",""
0987,"Back","Hammer Curl",1,60,12,0,0,"",""
0988,"Back","Hammer Curl",2,80,8,0,0,"",""
0989,"Lower","Squat (Barbell)",1,185,6,0,0,"",""
0990,"Lower","Squat (Barbell)",2,185,6,0,0,"",""
0991,"Lower","Squat (Barbell)",3,225,6,0,0,"",""
0992,"Lower","Squat (Barbell)",4,225,6,0,0,"",""
0993,"Lower","Squat (Barbell)",5,275,6,0,0,"",""
0994,"Lower","Squat (Barbell)",6,275,5,0,0,"",""
0995,"Lower","Squat (Barbell)",7,325,5,0,0,"",""
0996,"Lower","Squat (Barbell)",8,330,6,0,0,"",""
0997,"Lower","Squat (Barbell)",9,335,6,0,0,"",""
0998,"Lower","Deadlift (Barbell)",1,225,5,0,0,"",""
0999,"Lower","Deadlift (Barbell)",2,225,5,0,0,"",""
1000,"Lower","Deadlift (Barbell)",3,275,5,0,0,"",""
1001,"Lower","Deadlift (Barbell)",4,275,5,0,0,"",""
1002,"Lower","Deadlift (Barbell)",5,325,5,0,0,"",""
1003,"Lower","Cycling",1,0,0,2.55,660,"",""
1004,"Lower","Squat",1,185,6,0,0,"",""
1005,"Lower","Squat",2,185,6,0,0,"",""
1006,"Lower","Squat",3,225,6,0,0,"",""
1007,"Lower","Squat",4,225,6,0,0,"",""
1008,"Lower","Squat",5,275,6,0,0,"",""
1009,"Lower","Squat",6,275,5,0,0,"",""
1010,"Lower","Squat",7,325,5,0,0,"",""
1011,"Lower","Squat",8,330,6,0,0,"",""
1012,"Lower","Squat",9,335,6,0,0,"",""
1013,"Lower","Deadlift",1,225,5,0,0,"",""
1014,"Lower","Deadlift",2,225,5,0,0,"",""
1015,"Lower","Deadlift",3,275,5,0,0,"",""
1016,"Lower","Deadlift",4,275,5,0,0,"",""
1017,"Lower","Deadlift",5,325,5,0,0,"",""
1018,"Lower","Cycling",1,0,0,2.55,660,"",""
1019,"Shoulder","Seated Military Press (Dumbbell)",1,90,10,0,0,"",""
1020,"Shoulder","Seated Military Press (Dumbbell)",2,90,10,0,0,"",""
1021,"Shoulder","Seated Military Press (Dumbbell)",3,180,12,0,0,"",""
1022,"Shoulder","Seated Military Press (Dumbbell)",4,180,13,0,0,"",""
1023,"Shoulder","Seated Military Press (Dumbbell)",5,180,12,0,0,"",""
1024,"Shoulder","Lateral Raise",1,20,12,0,0,"",""
1025,"Shoulder","Weighted dips",1,0,10,0,0,"",""
1026,"Shoulder","Weighted dips",2,100,10,0,0,"",""
1027,"Shoulder","Weighted dips",3,100,10,0,0,"",""
1028,"Shoulder","Weighted dips",4,100,10,0,0,"",""
1029,"Shoulder","Military Press (Standing)",1,100,10,0,0,"",""
1030,"Shoulder","Military Press (Standing)",2,100,10,0,0,"",""
1031,"Shoulder","Military Press (Standing)",3,100,9,0,0,"",""
1032,"Shoulder","Seated Shoulder Press (Dumbbell)",1,90,10,0,0,"",""
1033,"Shoulder","Seated Shoulder Press (Dumbbell)",2,90,10,0,0,"",""
1034,"Shoulder","Seated Shoulder Press (Dumbbell)",3,180,12,0,0,"",""
1035,"Shoulder","Seated Shoulder Press (Dumbbell)",4,180,13,0,0,"",""
1036,"Shoulder","Seated Shoulder Press (Dumbbell)",5,180,12,0,0,"",""
1037,"Shoulder","Lateral Raise (Dumbbells)",1,20,12,0,0,"",""
1038,"Shoulder","Weighted dips",1,0,10,0,0,"",""
1039,"Shoulder","Weighted dips",2,100,10,0,0,"",""
1040,"Shoulder","Weighted dips",3,100,10,0,0,"",""
1041,"Shoulder","Weighted dips",4,100,10,0,0,"",""
1042,"Shoulder","Shoulder Press (Standing)",1,100,10,0,0,"",""
1043,"Shoulder","Shoulder Press (Standing)",2,100,10,0,0,"",""
1044,"Shoulder","Shoulder Press (Standing)",3,100,9,0,0,"",""
1045,"Back","Chin Up",1,0,10,0,0,"",""
1046,"Back","Chin Up",2,0,10,0,0,"",""
1047,"Back","Chin Up",3,0,10,0,0,"",""
1048,"Back","Chin Up",4,0,12,0,0,"",""
1049,"Back","Seated Row",1,175,10,0,0,"",""
1050,"Back","Seated Row",2,175,10,0,0,"",""
1051,"Back","Seated Row",3,175,10,0,0,"",""
1052,"Back","Lat Pulldown",1,150,12,0,0,"",""
1053,"Back","Lat Pulldown",2,150,12,0,0,"",""
1054,"Back","Lat Pulldown",3,150,12,0,0,"",""
1055,"Back","Bicep Curl (barbell )",1,90,10,0,0,"",""
1056,"Back","Bicep Curl (barbell )",2,90,10,0,0,"",""
1057,"Back","Bicep Curl (barbell )",3,90,10,0,0,"",""
1058,"Back","Hammer Curl",1,60,10,0,0,"",""
1059,"Back","Hammer Curl",2,60,10,0,0,"",""
1060,"Back","Rear delt fly",1,130,12,0,0,"",""
1061,"Back","Rear delt fly",2,130,12,0,0,"",""
1062,"Back","Rear delt fly",3,130,12,0,0,"",""
1063,"Back","Chin Up",1,0,10,0,0,"",""
1064,"Back","Chin Up",2,0,10,0,0,"",""
1065,"Back","Chin Up",3,0,10,0,0,"",""
1066,"Back","Chin Up",4,0,12,0,0,"",""
1067,"Back","Seated Cable Row (close Grip)",1,175,10,0,0,"",""
1068,"Back","Seated Cable Row (close Grip)",2,175,10,0,0,"",""
1069,"Back","Seated Cable Row (close Grip)",3,175,10,0,0,"",""
1070,"Back","Lat Pulldown ",1,150,12,0,0,"",""
1071,"Back","Lat Pulldown ",2,150,12,0,0,"",""
1072,"Back","Lat Pulldown ",3,150,12,0,0,"",""
1073,"Back","Bicep Curl (Barbell)",1,90,10,0,0,"",""
1074,"Back","Bicep Curl (Barbell)",2,90,10,0,0,"",""
1075,"Back","Bicep Curl (Barbell)",3,90,10,0,0,"",""
1076,"Back","Hammer Curl (Dumbbell )",1,60,10,0,0,"",""
1077,"Back","Hammer Curl (Dumbbell )",2,60,10,0,0,"",""
1078,"Back","Rear delt fly",1,130,12,0,0,"",""
1079,"Back","Rear delt fly",2,130,12,0,0,"",""
1080,"Back","Rear delt fly",3,130,12,0,0,"",""
1081,"Lower","Squat",1,185,6,0,0,"",""
1082,"Lower","Squat",2,185,6,0,0,"",""
1083,"Lower","Squat",3,225,6,0,0,"",""
1084,"Lower","Squat",4,275,6,0,0,"",""
1085,"Lower","Squat",5,315,6,0,0,"",""
1086,"Lower","Squat",6,335,6,0,0,"",""
1087,"Lower","Squat",7,340,6,0,0,"",""
1088,"Lower","Squat",8,225,9,0,0,"",""
1089,"Lower","Squat",9,225,9,0,0,"",""
1090,"Lower","Squat",10,225,9,0,0,"",""
1091,"Lower","Squat (Barbell)",1,185,6,0,0,"",""
1092,"Lower","Squat (Barbell)",2,185,6,0,0,"",""
1093,"Lower","Squat (Barbell)",3,225,6,0,0,"",""
1094,"Lower","Squat (Barbell)",4,275,6,0,0,"",""
1095,"Lower","Squat (Barbell)",5,315,6,0,0,"",""
1096,"Lower","Squat (Barbell)",6,335,6,0,0,"",""
1097,"Lower","Squat (Barbell)",7,340,6,0,0,"",""
1098,"Lower","Squat (Barbell)",8,225,9,0,0,"",""
1099,"Lower","Squat (Barbell)",9,225,9,0,0,"",""
1100,"Lower","Squat (Barbell)",10,225,9,0,0,"",""
1101,"Chest","Incline Bench Press",1,135,6,0,0,"",""
1102,"Chest","Incline Bench Press",2,135,6,0,0,"",""
1103,"Chest","Incline Bench Press",3,185,6,0,0,"",""
1104,"Chest","Incline Bench Press",4,225,3,0,0,"",""
1105,"Chest","Incline Bench Press",5,240,8,0,0,"",""
1106,"Chest","Incline Bench Press",6,240,8,0,0,"",""
1107,"Chest","Incline Bench Press",7,240,8,0,0,"",""
1108,"Chest","Incline Bench Press",8,185,9,0,0,"",""
1109,"Chest","Incline Bench Press",9,185,8,0,0,"",""
1110,"Chest","Weighted dips",1,0,8,0,0,"",""
1111,"Chest","Weighted dips",2,0,8,0,0,"",""
1112,"Chest","Weighted dips",3,90,9,0,0,"",""
1113,"Chest","Weighted dips",4,90,8,0,0,"",""
1114,"Chest","Lateral Raise",1,50,12,0,0,"",""
1115,"Chest","Lateral Raise",2,50,12,0,0,"",""
1116,"Chest","Incline Bench Press (Barbell)",1,135,6,0,0,"",""
1117,"Chest","Incline Bench Press (Barbell)",2,135,6,0,0,"",""
1118,"Chest","Incline Bench Press (Barbell)",3,185,6,0,0,"",""
1119,"Chest","Incline Bench Press (Barbell)",4,225,3,0,0,"",""
1120,"Chest","Incline Bench Press (Barbell)",5,240,8,0,0,"",""
1121,"Chest","Incline Bench Press (Barbell)",6,240,8,0,0,"",""
1122,"Chest","Incline Bench Press (Barbell)",7,240,8,0,0,"",""
1123,"Chest","Incline Bench Press (Barbell)",8,185,9,0,0,"",""
1124,"Chest","Incline Bench Press (Barbell)",9,185,8,0,0,"",""
1125,"Chest","Weighted dips",1,0,8,0,0,"",""
1126,"Chest","Weighted dips",2,0,8,0,0,"",""
1127,"Chest","Weighted dips",3,90,9,0,0,"",""
1128,"Chest","Weighted dips",4,90,8,0,0,"",""
1129,"Chest","Lateral Raise (Dumbbells)",1,50,12,0,0,"",""
1130,"Chest","Lateral Raise (Dumbbells)",2,50,12,0,0,"",""
1131,"Chest","Incline Bench Press (Barbell)",1,245,8,0,0,"",""
1132,"Chest","Incline Bench Press (Barbell)",2,245,8,0,0,"",""
1133,"Chest","Incline Bench Press (Barbell)",3,245,8,0,0,"",""
1134,"Chest","Incline Bench Press (Barbell)",4,135,5,0,0,"",""
1135,"Chest","Incline Bench Press (Barbell)",5,135,5,0,0,"",""
1136,"Chest","Incline Bench Press (Barbell)",6,185,5,0,0,"",""
1137,"Chest","Weighted dips",1,0,6,0,0,"",""
1138,"Chest","Weighted dips",2,115,8,0,0,"",""
1139,"Chest","Weighted dips",3,115,7,0,0,"",""
1140,"Chest","Weighted dips",4,0,8,0,0,"",""
1141,"Chest","Incline Bench Press",1,245,8,0,0,"",""
1142,"Chest","Incline Bench Press",2,245,8,0,0,"",""
1143,"Chest","Incline Bench Press",3,245,8,0,0,"",""
1144,"Chest","Incline Bench Press",4,135,5,0,0,"",""
1145,"Chest","Incline Bench Press",5,135,5,0,0,"",""
1146,"Chest","Incline Bench Press",6,185,5,0,0,"",""
1147,"Chest","Weighted dips",1,0,6,0,0,"",""
1148,"Chest","Weighted dips",2,115,8,0,0,"",""
1149,"Chest","Weighted dips",3,115,7,0,0,"",""
1150,"Chest","Weighted dips",4,0,8,0,0,"",""
1151,"Back","Chin Up",1,0,12,0,0,"",""
1152,"Back","Chin Up",2,0,12,0,0,"",""
1153,"Back","Chin Up",3,0,10,0,0,"",""
1154,"Back","Hammer back row wide 45 angle",1,180,10,0,0,"",""
1155,"Back","Hammer back row wide 45 angle",2,180,10,0,0,"",""
1156,"Back","Hammer back row wide 45 angle",3,180,10,0,0,"",""
1157,"Back","Hammer back row wide 45 angle",4,180,10,0,0,"",""
1158,"Back","Hammer Curl",1,65,12,0,0,"",""
1159,"Back","Hammer Curl",2,65,12,0,0,"",""
1160,"Back","Lat Pulldown",1,115,8,0,0,"",""
1161,"Back","Lat Pulldown",2,115,8,0,0,"",""
1162,"Back","Lat Pulldown",3,145,8,0,0,"",""
1163,"Back","Lat Pulldown",4,145,8,0,0,"",""
1164,"Back","Chin Up",1,0,12,0,0,"",""
1165,"Back","Chin Up",2,0,12,0,0,"",""
1166,"Back","Chin Up",3,0,10,0,0,"",""
1167,"Back","Hammer back row wide 45 angle",1,180,10,0,0,"",""
1168,"Back","Hammer back row wide 45 angle",2,180,10,0,0,"",""
1169,"Back","Hammer back row wide 45 angle",3,180,10,0,0,"",""
1170,"Back","Hammer back row wide 45 angle",4,180,10,0,0,"",""
1171,"Back","Hammer Curl (Dumbbell )",1,65,12,0,0,"",""
1172,"Back","Hammer Curl (Dumbbell )",2,65,12,0,0,"",""
1173,"Back","Lat Pulldown ",1,115,8,0,0,"",""
1174,"Back","Lat Pulldown ",2,115,8,0,0,"",""
1175,"Back","Lat Pulldown ",3,145,8,0,0,"",""
1176,"Back","Lat Pulldown ",4,145,8,0,0,"",""
1177,"Lower","Squat",1,185,6,0,0,"",""
1178,"Lower","Squat",2,185,5,0,0,"",""
1179,"Lower","Squat",3,225,6,0,0,"",""
1180,"Lower","Squat",4,275,8,0,0,"",""
1181,"Lower","Squat",5,315,8,0,0,"",""
1182,"Lower","Squat",6,325,8,0,0,"",""
1183,"Lower","Squat",7,330,8,0,0,"",""
1184,"Lower","Squat (Barbell)",1,185,6,0,0,"",""
1185,"Lower","Squat (Barbell)",2,185,5,0,0,"",""
1186,"Lower","Squat (Barbell)",3,225,6,0,0,"",""
1187,"Lower","Squat (Barbell)",4,275,8,0,0,"",""
1188,"Lower","Squat (Barbell)",5,315,8,0,0,"",""
1189,"Lower","Squat (Barbell)",6,325,8,0,0,"",""
1190,"Lower","Squat (Barbell)",7,330,8,0,0,"",""
1191,"Shoulder","Lateral Raise",1,60,10,0,0,"",""
1192,"Shoulder","Lateral Raise",2,60,10,0,0,"",""
1193,"Shoulder","Lateral Raise",3,20,8,0,0,"",""
1194,"Shoulder","Weighted dips",1,0,8,0,0,"",""
1195,"Shoulder","Weighted dips",2,0,8,0,0,"",""
1196,"Shoulder","Weighted dips",3,45,8,0,0,"",""
1197,"Shoulder","Weighted dips",4,45,8,0,0,"",""
1198,"Shoulder","Weighted dips",5,90,8,0,0,"",""
1199,"Shoulder","Weighted dips",6,90,8,0,0,"",""
1200,"Shoulder","Weighted dips",7,90,9,0,0,"",""
1201,"Shoulder","Seated Military Press",1,155,8,0,0,"",""
1202,"Shoulder","Seated Military Press",2,155,8,0,0,"",""
1203,"Shoulder","Seated Military Press",3,185,10,0,0,"",""
1204,"Shoulder","Seated Military Press",4,205,8,0,0,"",""
1205,"Shoulder","Seated Military Press",5,205,8,0,0,"",""
1206,"Shoulder","Seated Military Press",6,215,8,0,0,"",""
1207,"Shoulder","Seated Military Press",7,215,8,0,0,"",""
1208,"Shoulder","Seated Military Press",8,220,8,0,0,"",""
1209,"Shoulder","Seated Military Press",9,135,8,0,0,"",""
1210,"Shoulder","Lateral Raise (Dumbbells)",1,60,10,0,0,"",""
1211,"Shoulder","Lateral Raise (Dumbbells)",2,60,10,0,0,"",""
1212,"Shoulder","Lateral Raise (Dumbbells)",3,20,8,0,0,"",""
1213,"Shoulder","Weighted dips",1,0,8,0,0,"",""
1214,"Shoulder","Weighted dips",2,0,8,0,0,"",""
1215,"Shoulder","Weighted dips",3,45,8,0,0,"",""
1216,"Shoulder","Weighted dips",4,45,8,0,0,"",""
1217,"Shoulder","Weighted dips",5,90,8,0,0,"",""
1218,"Shoulder","Weighted dips",6,90,8,0,0,"",""
1219,"Shoulder","Weighted dips",7,90,9,0,0,"",""
1220,"Shoulder","Seated Shoulder  Press (Barbell)",1,155,8,0,0,"",""
1221,"Shoulder","Seated Shoulder  Press (Barbell)",2,155,8,0,0,"",""
1222,"Shoulder","Seated Shoulder  Press (Barbell)",3,185,10,0,0,"",""
1223,"Shoulder","Seated Shoulder  Press (Barbell)",4,205,8,0,0,"",""
1224,"Shoulder","Seated Shoulder  Press (Barbell)",5,205,8,0,0,"",""
1225,"Shoulder","Seated Shoulder  Press (Barbell)",6,215,8,0,0,"",""
1226,"Shoulder","Seated Shoulder  Press (Barbell)",7,215,8,0,0,"",""
1227,"Shoulder","Seated Shoulder  Press (Barbell)",8,220,8,0,0,"",""
1228,"Shoulder","Seated Shoulder  Press (Barbell)",9,135,8,0,0,"",""
1229,"Back","Chin Up",1,35,11,0,0,"",""
1230,"Back","Chin Up",2,35,9,0,0,"",""
1231,"Back","Chin Up",3,35,9,0,0,"",""
1232,"Back","Chin Up",4,35,10,0,0,"",""
1233,"Back","Hammer back row wide 45 angle",1,210,8,0,0,"",""
1234,"Back","Hammer back row wide 45 angle",2,210,8,0,0,"",""
1235,"Back","Hammer back row wide 45 angle",3,210,8,0,0,"",""
1236,"Back","Chin Up",1,35,11,0,0,"",""
1237,"Back","Chin Up",2,35,9,0,0,"",""
1238,"Back","Chin Up",3,35,9,0,0,"",""
1239,"Back","Chin Up",4,35,10,0,0,"",""
1240,"Back","Hammer back row wide 45 angle",1,210,8,0,0,"",""
1241,"Back","Hammer back row wide 45 angle",2,210,8,0,0,"",""
1242,"Back","Hammer back row wide 45 angle",3,210,8,0,0,"",""
1243,"Lower","Squat",1,225,8,0,0,"",""
1244,"Lower","Squat",2,225,8,0,0,"",""
1245,"Lower","Squat",3,275,8,0,0,"",""
1246,"Lower","Squat",4,275,5,0,0,"",""
1247,"Lower","Squat",5,315,8,0,0,"",""
1248,"Lower","Squat",6,315,6,0,0,"",""
1249,"Lower","Squat",7,315,8,0,0,"",""
1250,"Lower","Squat (Barbell)",1,225,8,0,0,"",""
1251,"Lower","Squat (Barbell)",2,225,8,0,0,"",""
1252,"Lower","Squat (Barbell)",3,275,8,0,0,"",""
1253,"Lower","Squat (Barbell)",4,275,5,0,0,"",""
1254,"Lower","Squat (Barbell)",5,315,8,0,0,"",""
1255,"Lower","Squat (Barbell)",6,315,6,0,0,"",""
1256,"Lower","Squat (Barbell)",7,315,8,0,0,"",""
1257,"Chest","Incline Bench Press",1,95,8,0,0,"",""
1258,"Chest","Incline Bench Press",2,185,6,0,0,"",""
1259,"Chest","Incline Bench Press",3,185,6,0,0,"",""
1260,"Chest","Incline Bench Press",4,235,9,0,0,"",""
1261,"Chest","Incline Bench Press",5,240,8,0,0,"",""
1262,"Chest","Incline Bench Press",6,240,8,0,0,"",""
1263,"Chest","Weighted dips",1,0,11,0,0,"",""
1264,"Chest","Weighted dips",2,0,11,0,0,"",""
1265,"Chest","Weighted dips",3,0,10,0,0,"",""
1266,"Chest","Seated Military Press",1,165,10,0,0,"",""
1267,"Chest","Seated Military Press",2,165,10,0,0,"",""
1268,"Chest","Seated Military Press",3,165,10,0,0,"",""
1269,"Chest","Incline Bench Press (Barbell)",1,95,8,0,0,"",""
1270,"Chest","Incline Bench Press (Barbell)",2,185,6,0,0,"",""
1271,"Chest","Incline Bench Press (Barbell)",3,185,6,0,0,"",""
1272,"Chest","Incline Bench Press (Barbell)",4,235,9,0,0,"",""
1273,"Chest","Incline Bench Press (Barbell)",5,240,8,0,0,"",""
1274,"Chest","Incline Bench Press (Barbell)",6,240,8,0,0,"",""
1275,"Chest","Weighted dips",1,0,11,0,0,"",""
1276,"Chest","Weighted dips",2,0,11,0,0,"",""
1277,"Chest","Weighted dips",3,0,10,0,0,"",""
1278,"Chest","Seated Shoulder  Press (Barbell)",1,165,10,0,0,"",""
1279,"Chest","Seated Shoulder  Press (Barbell)",2,165,10,0,0,"",""
1280,"Chest","Seated Shoulder  Press (Barbell)",3,165,10,0,0,"",""
1281,"Chest","Incline Bench Press (Barbell)",1,135,5,0,0,"",""
1282,"Chest","Incline Bench Press (Barbell)",2,205,6,0,0,"",""
1283,"Chest","Incline Bench Press (Barbell)",3,205,6,0,0,"",""
1284,"Chest","Incline Bench Press (Barbell)",4,225,9,0,0,"",""
1285,"Chest","Incline Bench Press (Barbell)",5,235,8,0,0,"",""
1286,"Chest","Incline Bench Press (Barbell)",6,235,8,0,0,"",""
1287,"Chest","Incline Bench Press (Barbell)",7,235,8,0,0,"",""
1288,"Chest","Weighted dips",1,0,8,0,0,"",""
1289,"Chest","Weighted dips",2,0,10,0,0,"",""
1290,"Chest","Weighted dips",3,0,8,0,0,"",""
1291,"Chest","Weighted dips",4,0,8,0,0,"",""
1292,"Chest","Chin Up",1,0,8,0,0,"",""
1293,"Chest","Chin Up",2,0,8,0,0,"",""
1294,"Chest","Chin Up",3,0,8,0,0,"",""
1295,"Chest","Lateral Raise (Dumbbells)",1,50,10,0,0,"",""
1296,"Chest","Lateral Raise (Dumbbells)",2,50,10,0,0,"",""
1297,"Chest","Lateral Raise (Dumbbells)",3,50,10,0,0,"",""
1298,"Chest","Incline Bench Press",1,135,5,0,0,"",""
1299,"Chest","Incline Bench Press",2,205,6,0,0,"",""
1300,"Chest","Incline Bench Press",3,205,6,0,0,"",""
1301,"Chest","Incline Bench Press",4,225,9,0,0,"",""
1302,"Chest","Incline Bench Press",5,235,8,0,0,"",""
1303,"Chest","Incline Bench Press",6,235,8,0,0,"",""
1304,"Chest","Incline Bench Press",7,235,8,0,0,"",""
1305,"Chest","Weighted dips",1,0,8,0,0,"",""
1306,"Chest","Weighted dips",2,0,10,0,0,"",""
1307,"Chest","Weighted dips",3,0,8,0,0,"",""
1308,"Chest","Weighted dips",4,0,8,0,0,"",""
1309,"Chest","Chin Up",1,0,8,0,0,"",""
1310,"Chest","Chin Up",2,0,8,0,0,"",""
1311,"Chest","Chin Up",3,0,8,0,0,"",""
1312,"Chest","Lateral Raise",1,50,10,0,0,"",""
1313,"Chest","Lateral Raise",2,50,10,0,0,"",""
1314,"Chest","Lateral Raise",3,50,10,0,0,"",""
1315,"Back","Chin Up",1,50,10,0,0,"",""
1316,"Back","Chin Up",2,50,9,0,0,"",""
1317,"Back","Chin Up",3,50,10,0,0,"",""
1318,"Back","Chin Up",4,0,10,0,0,"",""
1319,"Back","Rear delt fly",1,115,15,0,0,"",""
1320,"Back","Rear delt fly",2,115,15,0,0,"",""
1321,"Back","Rear delt fly",3,115,15,0,0,"",""
1322,"Back","Seated Row",1,190,10,0,0,"",""
1323,"Back","Seated Row",2,190,10,0,0,"",""
1324,"Back","Seated Row",3,190,10,0,0,"",""
1325,"Back","Bicep Curl (barbell )",1,90,12,0,0,"",""
1326,"Back","Chin Up",1,50,10,0,0,"",""
1327,"Back","Chin Up",2,50,9,0,0,"",""
1328,"Back","Chin Up",3,50,10,0,0,"",""
1329,"Back","Chin Up",4,0,10,0,0,"",""
1330,"Back","Rear delt fly",1,115,15,0,0,"",""
1331,"Back","Rear delt fly",2,115,15,0,0,"",""
1332,"Back","Rear delt fly",3,115,15,0,0,"",""
1333,"Back","Seated Cable Row (close Grip)",1,190,10,0,0,"",""
1334,"Back","Seated Cable Row (close Grip)",2,190,10,0,0,"",""
1335,"Back","Seated Cable Row (close Grip)",3,190,10,0,0,"",""
1336,"Back","Bicep Curl (Barbell)",1,90,12,0,0,"",""
1337,"Lower","Squat",1,185,5,0,0,"",""
1338,"Lower","Squat",2,185,5,0,0,"",""
1339,"Lower","Squat",3,225,5,0,0,"",""
1340,"Lower","Squat",4,275,5,0,0,"",""
1341,"Lower","Squat",5,315,8,0,0,"",""
1342,"Lower","Squat",6,335,7,0,0,"",""
1343,"Lower","Squat",7,335,6,0,0,"",""
1344,"Lower","Squat",8,345,5,0,0,"",""
1345,"Lower","Leg curl",1,125,10,0,0,"",""
1346,"Lower","Squat (Barbell)",1,185,5,0,0,"",""
1347,"Lower","Squat (Barbell)",2,185,5,0,0,"",""
1348,"Lower","Squat (Barbell)",3,225,5,0,0,"",""
1349,"Lower","Squat (Barbell)",4,275,5,0,0,"",""
1350,"Lower","Squat (Barbell)",5,315,8,0,0,"",""
1351,"Lower","Squat (Barbell)",6,335,7,0,0,"",""
1352,"Lower","Squat (Barbell)",7,335,6,0,0,"",""
1353,"Lower","Squat (Barbell)",8,345,5,0,0,"",""
1354,"Lower","Leg curl",1,125,10,0,0,"",""
1355,"Shoulder","Seated Military Press (Dumbbell)",1,80,10,0,0,"",""
1356,"Shoulder","Seated Military Press (Dumbbell)",2,120,10,0,0,"",""
1357,"Shoulder","Seated Military Press (Dumbbell)",3,180,11,0,0,"",""
1358,"Shoulder","Seated Military Press (Dumbbell)",4,180,11,0,0,"",""
1359,"Shoulder","Seated Military Press (Dumbbell)",5,180,10,0,0,"",""
1360,"Shoulder","Weighted dips",1,0,10,0,0,"",""
1361,"Shoulder","Weighted dips",2,45,10,0,0,"",""
1362,"Shoulder","Weighted dips",3,0,8,0,0,"",""
1363,"Shoulder","Weighted dips",4,100,10,0,0,"",""
1364,"Shoulder","Weighted dips",5,100,10,0,0,"",""
1365,"Shoulder","Weighted dips",6,100,12,0,0,"",""
1366,"Shoulder","Seated Shoulder Press (Dumbbell)",1,80,10,0,0,"",""
1367,"Shoulder","Seated Shoulder Press (Dumbbell)",2,120,10,0,0,"",""
1368,"Shoulder","Seated Shoulder Press (Dumbbell)",3,180,11,0,0,"",""
1369,"Shoulder","Seated Shoulder Press (Dumbbell)",4,180,11,0,0,"",""
1370,"Shoulder","Seated Shoulder Press (Dumbbell)",5,180,10,0,0,"",""
1371,"Shoulder","Weighted dips",1,0,10,0,0,"",""
1372,"Shoulder","Weighted dips",2,45,10,0,0,"",""
1373,"Shoulder","Weighted dips",3,0,8,0,0,"",""
1374,"Shoulder","Weighted dips",4,100,10,0,0,"",""
1375,"Shoulder","Weighted dips",5,100,10,0,0,"",""
1376,"Shoulder","Weighted dips",6,100,12,0,0,"",""
1377,"Back","Chin Up",1,52.5,11,0,0,"",""
1378,"Back","Chin Up",2,52.5,9,0,0,"",""
1379,"Back","Chin Up",3,52.5,9,0,0,"",""
1380,"Back","Chin Up",4,0,10,0,0,"",""
1381,"Back","Seated Cable Row (close Grip)",1,130,8,0,0,"",""
1382,"Back","Seated Cable Row (close Grip)",2,190,8,0,0,"",""
1383,"Back","Seated Cable Row (close Grip)",3,130,8,0,0,"",""
1384,"Back","Seated Cable Row (close Grip)",4,190,8,0,0,"",""
1385,"Back","Hammer lat pulldown",1,180,10,0,0,"",""
1386,"Back","Hammer lat pulldown",2,180,10,0,0,"",""
1387,"Back","Hammer lat pulldown",3,180,10,0,0,"",""
1388,"Back","Rear delt fly",1,125,15,0,0,"",""
1389,"Back","Rear delt fly",2,125,15,0,0,"",""
1390,"Back","Chin Up",1,52.5,11,0,0,"",""
1391,"Back","Chin Up",2,52.5,9,0,0,"",""
1392,"Back","Chin Up",3,52.5,9,0,0,"",""
1393,"Back","Chin Up",4,0,10,0,0,"",""
1394,"Back","Seated Row",1,130,8,0,0,"",""
1395,"Back","Seated Row",2,190,8,0,0,"",""
1396,"Back","Seated Row",3,130,8,0,0,"",""
1397,"Back","Seated Row",4,190,8,0,0,"",""
1398,"Back","Hammer lat pulldown",1,180,10,0,0,"",""
1399,"Back","Hammer lat pulldown",2,180,10,0,0,"",""
1400,"Back","Hammer lat pulldown",3,180,10,0,0,"",""
1401,"Back","Rear delt fly",1,125,15,0,0,"",""
1402,"Back","Rear delt fly",2,125,15,0,0,"",""
1403,"Lower","Squat",1,185,6,0,0,"",""
1404,"Lower","Squat",2,185,6,0,0,"",""
1405,"Lower","Squat",3,185,6,0,0,"",""
1406,"Lower","Squat",4,235,6,0,0,"",""
1407,"Lower","Squat",5,275,6,0,0,"",""
1408,"Lower","Squat",6,275,6,0,0,"",""
1409,"Lower","Deadlift",1,205,5,0,0,"",""
